hanzi	pinyin	pos	hsk30	translation
开机	kāijī		2	включать
开学	kāixué		2	начать занятия; приступить к учёбе
考生	kǎoshēng	N	2	экзаменующийся, испытуемый, тестируемый
靠	kào	V	2	опираться на, облокачиваться на
科	kē	N	2	отдел; раздел, отрасль; факультет
课堂	kètáng	N	2	аудитория, класс
快餐	kuàicān	N	2	фастфуд, быстрое питание
快点儿	kuàidiǎnr		2	быстрей, побыстрей, скорей
快要	kuàiyào	Adv	2	вот-вот
蓝色	lánsè	N	2	синий, синяя окраска
篮球	lánqiú	N	2	баскетбол; баскетбольный мяч
老年	lǎonián	N	2	старость; старческий
老朋友	lǎopéngyou		2	старый друг
老是	lǎoshì	Adv	2	всегда, вечно, всё время, постоянно
里头	lǐtou	N	2	внутри; в пределах в
例子	lìzi	N	2	пример
练	liàn	V	2	тренироваться; упражняться
凉	liáng	Adj	2	прохладный, холодно
零下	língxià		2	ниже нуля
留下	liúxia		2	оставить, задержать
留学生	liúxuéshēng	N	2	студент, обучающийся за границей
流	liú	V	2	течь, стекать, струиться
路边	lùbiān		2	край дороги, у дороги, обочина
旅客	lǚkè	N	2	пассажир; турист, путешественник
旅行	lǚxíng	V	2	путешествовать
绿色	lǜsè	N	2	зелёный цвет; зелёный; экология
面	miàn	N/M	2	лицо; сторона; лапша; мука
面前	miànqián	N	2	перед лицом, в присутствии; впереди
名	míng	N/M	2	имя; известный; сч. слово для людей
名称	míngchēng	N	2	название, наименование, имя
名单	míngdān	N	2	именной список, поимённый перечень, список
拿出	náchū		2	вытащить, вынуть; выделять; выдвигать
拿到	nádào		2	получить; взять в руки
那会儿	nàhuìr	Pron	2	в то время, тогда
那么	nàme	Pron	2	так, в такой степени; такой
那时候	nàshíhou		2	в то время, тогда
那时	nàshí		2	в то время, тогда
那样	nàyàng	Pron	2	так; такой
南方	nánfāng	N	2	юг; южная часть; южный район
难题	nántí	N	2	сложная тема; трудный вопрос
难听	nántīng	Adj	2	неприятно слушать
能够	nénggòu	V	2	мочь, быть в состоянии
爬	pá	V	2	ползать
怕	pà	V/Adv	2	бояться, опасаться
排	pái	N/M/V	2	ряд; ставить в ряд; шеренга
碰	pèng	V	2	столкнуться; трогать; встретить
碰到	pèngdào		2	встретить; наткнуться на
平安	píngān	Adj	2	спокойный, благополучный; безопасный
瓶	píng	N/M	2	бутылка, фляга; флакон, пузырёк; ваза
普通	pǔtōng	Adj	2	общепринятый, распространённый, всеобщий
骑车	qíchē		2	ехать на велосипеде
气	qì	V/N	2	воздух, газ; сердиться; запах
气温	qìwēn	N	2	температура воздуха; аэротермический
千克	qiānkè	M	2	килограмм, кг
前年	qiánnián	N	2	позапрошлый год; в позапрошлом году
青年	qīngnián	N	2	молодёжь; молодой
晴天	qíngtiān	N	2	ясно; солнечный день; чистое небо
秋天	qiūtiān	N	2	осень, осенний сезон
求	qiú	V	2	просить; искать; требовать
球场	qiúchǎng	N	2	стадион, арена, корт, спортивная площадка
球队	qiúduì	N	2	команда
球鞋	qiúxié	N	2	кроссовки, бутсы, кеды, сникерсы, сникеры
取得	qǔdé	V	2	приобретать; получать; одержать
全	quán	Adv/Adj	2	полный, весь, целый
全国	quánguó	N	2	вся страна; по всей стране
全家	quánjiā	N	2	вся семья
全年	quánnián	N	2	круглый год; годовой, годичный
全身	quánshēn	N	2	всё тело; весь полный, целиком
全体	quántǐ	N	2	все; весь состав; в полном составе
人们	rénmen	N	2	народ, люди
人数	rénshù	N	2	количество людей; число лиц
日报	rìbào	N	2	ежедневная газета; ежедневная отчётность
日子	rìzi	N	2	день; срок, время; дата
商人	shāngrén	N	2	делец; бизнесмен; коммерсант
上周	shàngzhōu		2	прошлая неделя
少数	shǎoshù	N	2	меньшинство; меньший
少年	shàonián	N	2	подросток; юность
身边	shēnbiān	N	2	при себе; около себя, рядом, сбоку
什么样	shénmeyàng	Pron	2	какой? какого вида? какого рода?
生	shēng	V/Adj	2	рождать(ся); сырой; жизнь
生词	shēngcí	N	2	незнакомое слово, новое слово
市	shì	N	2	город; рынок
市长	shìzhǎng	N	2	градоначальник; городской голова
收到	shōudào		2	получить
熟	shú / shóu	Adj	2	спелый; варёный; знакомый
送到	sòngdào		2	прислать, принести, доставить
送给	sònggěi		2	посылать; дарить
它们	tāmen	Pron	2	они
提出	tíchū		2	выдвигать; предлагать; поднимать (вопрос)
提到	tídào		2	упоминать, касаться; поднять, поставить
体育场	tǐyùchǎng	N	2	стадион, спортивная арена
体育馆	tǐyùguǎn	N	2	дворец спорта, спорткомплекс
天上	tiānshàng	N	2	небо; на небе, в небе; небесный
听讲	tīngjiǎng		2	слушать лекцию (урок)
听说	tīngshuō	V	2	слышно, что; как говорят; по слухам
停	tíng	V	2	останавливаться, стоять
停车	tíngchē		2	парковаться, парковать автомобиль
停车场	tíngchēchǎng	N	2	стоянка, парковка; место стоянки
挺好	tǐnghǎo		2	очень хорошо; неплохо
通	tōng	V/Adj	2	проходить; сообщаться; понимать
同样	tóngyàng	Adj/Conj	2	тождественный, одинаковый, идентичный
头	tóu / tou	N/M/Suffix/Adj	2	голова; первый; сч. слово для скота
图片	túpiàn	N	2	фотография, иллюстрация, картинка
外地	wàidì	N	2	иные края; чужие земли, чужбина
外卖	wàimài	N/V	2	на вынос, на дом, с доставкой на дом
晚安	wǎnān	V	2	добрый вечер!, доброй ночи!
晚报	wǎnbào	N	2	вечерняя газета
晚餐	wǎncān	N	2	ужин
晚会	wǎnhuì	N	2	вечеринка, вечер
网	wǎng	N	2	сеть, сетка, тенёта, силок; невод
问路	wènlù	V	2	разузнавать дорогу; спрашивать дорогу
午餐	wǔcān	N	2	обед
午睡	wǔshuì	N/V	2	дневной сон, послеобеденный сон
西北	xīběi	N	2	северо-запад
西餐	xīcān	N	2	европейская кухня
西方	xīfāng	N	2	запад; западный
西南	xīnán	N	2	юго-запад; юго-западная часть Китая
西医	xīyī	N	2	западная медицина; врач западной медицины
下雪	xiàxuě		2	идёт снег; снегопад
下周	xiàzhōu		2	следующая неделя
夏天	xiàtiān	N	2	лето; летом
想到	xiǎngdào		2	подумать; прийти в голову
想法	xiǎngfǎ	N	2	мышление, образ мыслей, точка зрения
想起	xiǎngqǐ		2	вспомнить; прийти в голову
相机	xiàngjī	N	2	фотоаппарат, фотокамера
小声	xiǎoshēng		2	тихо, шепотком; тихий звук
小时候	xiǎoshíhou	N	2	в детстве
小组	xiǎozǔ	N	2	группа, ячейка; кружок; бригада, звено
校园	xiàoyuán	N	2	кампус, университетский городок
笑话儿	xiàohuar	N	2	шутка, анекдот; чепуха, ерунда
心里	xīnlǐ	N	2	в душе, в уме, про себя; в груди; нутро
心中	xīnzhōng	N	2	в сердце; на сердце, на душе; про себя
星星	xīngxing	N	2	звёзды
姓名	xìngmíng	N	2	фамилия и имя; полное имя
休假	xiūjià		2	отпуск, каникулы, побывка
选	xuǎn	V	2	выбирать, избирать, подбирать; выборный
眼	yǎn	N/M	2	глаз, око; взор, взгляд; зрение
养	yǎng	V	2	кормить; содержать, обслуживать
药店	yàodiàn	N	2	аптека
药片	yàopiàn	N	2	лекарство в таблетках, таблетка
药水	yàoshuǐ	N	2	лекарство; микстура
夜里	yèlǐ	N	2	ночь, ночное время
一部分	yībùfen		2	часть; некоторые
一路平安	yīlùpíngān		2	в добрый путь, доброго пути, хорошей дороги
一路顺风	yīlùshùnfēng		2	попутного ветра!, счастливого пути!
以上	yǐshàng	N	2	наверху, сверху; выше; вышеперечисленный
以外	yǐwài	N	2	вне, снаружи; кроме того, вне этого
以下	yǐxià	N	2	ниже; менее; нижеследующий
一点点	yīdiǎndiǎn		2	немного, чуть-чуть
一生	yīshēng	N	2	вся жизнь; за всю жизнь
阴天	yīntiān	N	2	облачное небо; пасмурная погода
音节	yīnjié	N	2	слог
音乐会	yīnyuèhuì	N	2	концерт
银行卡	yínhángkǎ	N	2	банковская карта
英文	Yīngwén	N	2	английский язык; английский текст
英语	Yīngyǔ	N	2	английский язык
影片	yǐngpiàn	N	2	кинофильм; фильм
油	yóu	N	2	масло; жир; в масле, в жиру; нефть
游客	yóukè	N	2	турист, путешественник; посетитель
有空儿	yǒukòngr	V	2	иметь свободное время, быть свободным
有人	yǒurén		2	некто, кто-то; некоторые, кое-что
有点儿	yǒudiǎnr	Adv	2	немного, несколько, чуть-чуть
有一点儿	yǒuyīdiǎnr	Adv	2	немного, несколько, чуть-чуть
有意思	yǒuyìsi		2	интересный, любопытный, увлекательный
院	yuàn	N	2	двор; учреждение (институт, больница)
院长	yuànzhǎng	N	2	глава, директор, председатель, президент
院子	yuànzi	N	2	двор
月份	yuèfèn	N	2	месяц
越来越	yuèláiyuè		2	все больше и больше; чем дальше, тем
咱	zán	Pron	2	мы (с тобой); я
早餐	zǎocān	N	2	завтрак
早晨	zǎochen	N	2	утро; утром
早就	zǎojiù		2	уже давно; с давних пор
怎么办	zěnmebàn		2	как быть, как поступить, что делать
怎样	zěnyàng	Pron	2	каким образом?, как?; каков?
占	zhàn	V	2	занимать; составлять, обладать
站住	zhànzhù		2	остановиться; стой!
长大	zhǎngdà		2	вырасти; повзрослеть
找出	zhǎochū		2	подыскать, обнаружить, выяснить, понять
照相	zhàoxiàng		2	фотографировать; фотографирование
这么	zhème	Pron	2	так; такой; в такой степени; настолько
这时候	zhèshíhou		2	в это время, в настоящее время
这时	zhèshí		2	в это время
这样	zhèyàng	Pron	2	такой; так; таким образом
正是	zhèngshì	V	2	именно; как раз
只能	zhǐnéng		2	только и мочь что..., мочь только
纸	zhǐ	N	2	бумага; бумажный; лист; штука
中餐	zhōngcān	N	2	китайская кухня
中级	zhōngjí	Adj	2	средний; среднего ранга
中年	zhōngnián	N	2	средний возраст; средних лет
中小学	zhōngxiǎoxué		2	начальная и средняя школа
中医	zhōngyī	N	2	китайская медицина
周	zhōu	M	2	неделя; круг; оборот
住房	zhùfáng	N	2	жильё; квартира
住院	zhùyuàn		2	лечь в больницу, лежать в больнице
走过	zǒuguò		2	проходить через
走进	zǒujìn		2	входить, входить в
走开	zǒukāi		2	расходиться; отойти, уходить, отойти
组长	zǔzhǎng	N	2	руководитель группы; староста
作家	zuòjiā	N	2	писатель; творческий работник
做到	zuòdào		2	сделать; доделать, выполнить; добиться
